placement,created,contestID,animalID,award
0,19/07/2020,1,63,Cute Award
0,19/07/2020,1,61,Cute Award
0,19/07/2020,1,3,Cute Award
0,19/07/2020,1,72,Cute Award
0,19/07/2020,2,77,Cute Award
0,19/07/2020,2,17,Cute Award
0,19/07/2020,2,23,Cute Award
0,19/07/2020,2,16,Cute Award
0,19/07/2020,3,22,Cute Award
0,19/07/2020,3,74,Cute Award
0,19/07/2020,3,9,Cute Award
0,19/07/2020,3,78,Cute Award
0,19/07/2020,4,39,Cute Award
0,19/07/2020,4,43,Cute Award
0,19/07/2020,4,47,Cute Award
0,19/07/2020,4,36,Cute Award
0,19/07/2020,5,46,Cute Award
0,19/07/2020,5,84,Cute Award
0,19/07/2020,5,17,Cute Award
0,19/07/2020,5,79,Cute Award
0,19/07/2020,6,33,Cute Award
0,19/07/2020,6,78,Cute Award
0,19/07/2020,6,72,Cute Award
0,19/07/2020,6,18,Cute Award
0,19/07/2020,7,74,Cute Award
0,19/07/2020,7,41,Cute Award
0,19/07/2020,7,14,Cute Award
0,19/07/2020,7,81,Cute Award
0,19/07/2020,8,80,Cute Award
0,19/07/2020,8,29,Cute Award
0,19/07/2020,8,26,Cute Award
0,19/07/2020,8,32,Cute Award
0,19/07/2020,9,52,Cute Award
0,19/07/2020,9,9,Cute Award
0,19/07/2020,9,12,Cute Award
0,19/07/2020,9,42,Cute Award
0,19/07/2020,10,20,Cute Award
0,19/07/2020,10,15,Cute Award
0,19/07/2020,10,70,Cute Award
0,19/07/2020,10,52,Cute Award
0,19/07/2020,11,75,Cute Award
0,19/07/2020,11,31,Cute Award
0,19/07/2020,11,49,Cute Award
0,19/07/2020,11,6,Cute Award
0,19/07/2020,12,75,Cute Award
0,19/07/2020,12,28,Cute Award
0,19/07/2020,12,44,Cute Award
0,19/07/2020,12,76,Cute Award
0,19/07/2020,13,36,Cute Award
0,19/07/2020,13,19,Cute Award
0,19/07/2020,13,89,Cute Award
0,19/07/2020,13,18,Cute Award
0,19/07/2020,14,49,Cute Award
0,19/07/2020,14,19,Cute Award
0,19/07/2020,14,62,Cute Award
0,19/07/2020,14,45,Cute Award
0,19/07/2020,15,26,Cute Award
0,19/07/2020,15,29,Cute Award
0,19/07/2020,15,51,Cute Award
0,19/07/2020,15,23,Cute Award
0,19/07/2020,16,68,Cute Award
0,19/07/2020,16,5,Cute Award
0,19/07/2020,16,36,Cute Award
0,19/07/2020,16,38,Cute Award
0,19/07/2020,17,75,Cute Award
0,19/07/2020,17,27,Cute Award
0,19/07/2020,17,77,Cute Award
0,19/07/2020,17,29,Cute Award
0,19/07/2020,18,68,Cute Award
0,19/07/2020,18,42,Cute Award
0,19/07/2020,18,34,Cute Award
0,19/07/2020,18,27,Cute Award
0,19/07/2020,19,63,Cute Award
0,19/07/2020,19,85,Cute Award
0,19/07/2020,19,82,Cute Award
0,19/07/2020,19,21,Cute Award
0,19/07/2020,20,75,Cute Award
0,19/07/2020,20,76,Cute Award
0,19/07/2020,20,73,Cute Award
0,19/07/2020,20,40,Cute Award
0,19/07/2020,21,32,Cute Award
0,19/07/2020,21,26,Cute Award
0,19/07/2020,21,78,Cute Award
0,19/07/2020,21,19,Cute Award
0,19/07/2020,22,18,Cute Award
0,19/07/2020,22,58,Cute Award
0,19/07/2020,22,10,Cute Award
0,19/07/2020,22,44,Cute Award
0,19/07/2020,23,12,Cute Award
0,19/07/2020,23,54,Cute Award
0,19/07/2020,23,32,Cute Award
0,19/07/2020,23,50,Cute Award
0,19/07/2020,24,56,Cute Award
0,19/07/2020,24,44,Cute Award
0,19/07/2020,24,54,Cute Award
0,19/07/2020,24,39,Cute Award
0,19/07/2020,25,54,Cute Award
0,19/07/2020,25,18,Cute Award
0,19/07/2020,25,36,Cute Award
0,19/07/2020,25,64,Cute Award
